typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20240401,2024,4,202404,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,30346.042,FALSE,-1,N/A,0,FALSE,30345.142,FALSE,0,FALSE,1057096.66,970825.53,1057096.66,0,FALSE,TRUE
C,M,20240401,2024,4,202404,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,149340.24,FALSE,5,u,354038.5,FALSE,149340.24,FALSE,0,FALSE,1787786.92,1727300.41,1787786.92,0,FALSE,TRUE
C,M,20240401,2024,4,202404,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,34203.27,FALSE,5,u,215072.6,FALSE,34203.27,FALSE,0,FALSE,394762.45,383045.58,394762.45,0,FALSE,TRUE
C,M,20240501,2024,5,202405,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,173624.402,FALSE,-1,N/A,0,FALSE,173623.572,FALSE,0,FALSE,1822691.353,1730792.89,1822691.353,0,FALSE,TRUE
C,M,20240501,2024,5,202405,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,79996.93,FALSE,5,u,297136,FALSE,79996.93,FALSE,0,FALSE,,581114.53,581114.53,0,FALSE,TRUE
C,M,20240501,2024,5,202405,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,20148.48,FALSE,-1,N/A,0,FALSE,20147.65,FALSE,0,FALSE,495561.302,441051.456,495561.302,0,FALSE,TRUE
C,M,20240501,2024,5,202405,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,3141.55,FALSE,5,u,10996,FALSE,3141.55,FALSE,0,FALSE,,38366.23,38366.23,0,FALSE,TRUE
C,M,20240501,2024,5,202405,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,114215.122,FALSE,5,u,583446,FALSE,114215.122,FALSE,0,FALSE,751299.674,726566.662,751299.674,0,FALSE,TRUE
C,M,20240501,2024,5,202405,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,76855.38,FALSE,5,u,286140,FALSE,76855.38,FALSE,0,FALSE,,542748.3,542748.3,0,FALSE,TRUE
C,M,20240501,2024,5,202405,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,39260.8,FALSE,5,u,106426,FALSE,39260.8,FALSE,0,FALSE,575830.377,563174.772,575830.377,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,199451.839,FALSE,-1,N/A,0,FALSE,199451.889,FALSE,0,FALSE,3416369.808,3321676.778,3416369.808,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,96050.11,FALSE,5,u,588252,FALSE,96050.11,FALSE,0,FALSE,,437414.63,437414.63,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,13635.237,FALSE,-1,N/A,0,FALSE,13635.287,FALSE,0,FALSE,319198.797,286849.211,319198.797,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,1552.95,FALSE,5,u,6915,FALSE,1552.95,FALSE,0,FALSE,,18197.11,18197.11,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,156691.989,FALSE,5,u,1855739,FALSE,156691.989,FALSE,0,FALSE,2584733.055,2531346.735,2584733.055,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,88464.88,FALSE,5,u,442549,FALSE,88464.88,FALSE,0,FALSE,,407742.14,407742.14,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,28409.87,FALSE,5,u,79663,FALSE,28409.87,FALSE,0,FALSE,512296.74,503352.024,512296.74,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,6032.28,FALSE,5,u,138788,FALSE,6032.28,FALSE,0,FALSE,,11475.38,11475.38,0,FALSE,TRUE
C,M,20240601,2024,6,202406,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,9900,Other,8,kg,714.743,FALSE,5,u,40,FALSE,714.743,FALSE,0,FALSE,141.216,128.808,141.216,0,FALSE,TRUE
C,M,20240701,2024,7,202407,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,0,TRUE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,3276287.259,3094979.605,3276287.259,2,FALSE,TRUE
C,M,20240701,2024,7,202407,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,175889.26,FALSE,5,u,700857,FALSE,175889.26,FALSE,0,FALSE,,900040.64,900040.64,0,FALSE,TRUE
C,M,20240701,2024,7,202407,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,0,TRUE,-1,N/A,0,FALSE,0,FALSE,0,FALSE,920486.556,808508.364,920486.556,2,FALSE,TRUE
C,M,20240701,2024,7,202407,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,18878.66,FALSE,5,u,68617,FALSE,18878.66,FALSE,0,FALSE,,120984.98,120984.98,0,FALSE,TRUE
C,M,20240701,2024,7,202407,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,202673.675,FALSE,5,u,491369,FALSE,202673.675,FALSE,0,FALSE,2123674.737,2058865.58,2123674.737,0,FALSE,TRUE
C,M,20240701,2024,7,202407,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,157010.6,FALSE,5,u,632240,FALSE,157010.6,FALSE,0,FALSE,,779055.66,779055.66,0,FALSE,TRUE
C,M,20240701,2024,7,202407,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,3200,Road,8,kg,14869.881,FALSE,5,u,37222,FALSE,14869.881,FALSE,0,FALSE,232125.966,227605.661,232125.966,0,FALSE,TRUE
C,M,20240801,2024,8,202408,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,249115.654,TRUE,-1,N/A,0,FALSE,249115.654,TRUE,0,FALSE,4964331.313,4684790.639,4964331.313,6,FALSE,TRUE
C,M,20240801,2024,8,202408,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,0,TOTAL MOT,8,kg,173397.37,FALSE,5,u,523485,FALSE,173397.37,FALSE,0,FALSE,,952178.678,952178.678,0,FALSE,TRUE
C,M,20240801,2024,8,202408,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,65095.539,TRUE,-1,N/A,0,FALSE,65095.539,TRUE,0,FALSE,2053587.822,1858851.564,2053587.822,6,FALSE,TRUE
C,M,20240801,2024,8,202408,218,ECU,Ecuador,X,Export,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,1000,Air,8,kg,16199.86,FALSE,5,u,49445,FALSE,16199.86,FALSE,0,FALSE,,87955.93,87955.93,0,FALSE,TRUE
C,M,20240801,2024,8,202408,218,ECU,Ecuador,M,Import,0,W00,World,0,W00,World,H6,HS,TRUE,4901,"Printed books, brochures, leaflets and similar printed matter, whether or not in single sheets",4,FALSE,C00,TOTAL CPC,0,2100,Sea,8,kg,151215.435,FALSE,5,u,455338,FALSE,151215.435,FALSE,0,FALSE,2402270.833,2326726.964,2402270.833,0,FALSE,TRUE
